,11.566,53.3595,52.7017,53.0481,52.4059,53.4375,53.3894,53.5127,53.7625,52.3141,51.6265,51.5918,51.4422,52.92,52.9272,52.6412,52.5661,53.9253,53.8072,143.804,142.453,141.49,142.5,141.817,141.981,145.315,142.579,143.357,143.937,141.602,141.583,142.67,142.516,142.003,142.563,141.979,144.425,142.928,143.199
9.64044,,50.8082,51.1423,49.5936,49.3685,52.4879,53.1858,54.2911,53.7511,50.298,49.5579,50.3027,50.2536,53.1943,52.9911,52.0843,51.4149,53.3789,53.1722,142.819,140.343,141.655,141.236,141.375,140.789,142.262,142.217,144.165,144.362,139.908,139.881,140.837,141.108,144.704,144.413,142.041,141.846,143.192,143.454
51.6003,50.6507,,8.90261,50.6718,50.7236,52.866,52.7612,53.2026,52.5398,51.0539,50.4155,51.4381,50.958,52.0237,52.2013,52.4386,52.4373,53.9673,53.559,139.395,138.736,138.486,138.535,139.282,138.946,139.27,139.696,140.604,139.922,138.08,138.064,138.411,138.62,139.733,139.06,140.118,139.947,142.184,140.935
57.5398,56.596,9.2514,,56.0081,56.0097,55.081,55.0037,54.9129,54.9409,56.7243,56.8148,57.7725,57.3066,55.016,55.2772,54.6508,54.4158,52.9363,53.3192,160.625,158.866,157.836,157.671,158.096,158.155,156.77,157.868,156.596,156.173,157.668,157.93,158.273,157.95,156.845,157.063,157.412,156.396,155.743,155.369
56.864,56.8919,56.0175,55.9499,,9.37822,54.233,54.3942,53.2394,53.1483,56.8986,56.5808,55.8934,55.9537,54.9818,54.3219,54.9899,54.7365,53.7667,53.5123,158.226,157.034,155.383,155.405,156.372,156.164,154.554,154.396,154.84,153.581,157.05,156.577,155.37,156.531,154.742,155.454,154.692,155.074,153.552,153.551
51.9453,50.9395,51.876,52.0203,9.73126,,53.2463,52.8213,53.3462,53.2928,50.6377,50.5626,52.0804,51.1534,52.1757,52.1617,52.6141,51.5015,52.2351,52.3042,142.817,140.957,141.64,141.726,139.581,139.765,141.658,142.781,142.774,142.683,139.574,139.528,139.806,140.215,141.743,141.666,141.243,141.631,142.639,141.899
54.0635,53.303,53.5997,53.5261,53.7958,53.8492,,9.27159,53.686,53.1009,53.8163,53.6845,52.9236,52.5882,52.8189,52.2107,53.4555,53.4366,53.537,53.2623,152.215,151.104,150.968,149.834,149.728,150.255,149.359,149.213,149.388,149.178,149.997,150.255,148.959,148.933,150.031,148.797,148.64,149.428,150.624,149.277
55.0323,54.2841,54.3379,53.8548,54.0708,54.1959,9.75098,,50.4179,50.3389,54.5861,54.5776,53.9022,54.2104,52.531,52.3035,52.5398,52.9531,50.8996,50.7201,156.59,154.821,154.51,155.165,154.513,155.078,153.312,153.056,152.428,151.673,155.418,155.041,154.221,154.205,152.711,152.783,153.078,153.836,151.941,151.879
56.2913,54.9259,54.8563,54.9454,54.4844,54.2638,56.0572,56.0326,,9.35087,53.8809,53.8418,55.6421,54.9778,56.9086,57.1721,55.5323,55.6072,57.1904,56.7088,146.819,144.971,145.185,144.976,144.76,145.676,145.833,145.859,147.313,147.314,144.048,143.297,144.673,145.311,146.313,146.366,145.642,145.66,146.948,146.353
55.3684,54.3581,54.7366,55.1784,54.3259,54.5122,56.4075,56.427,9.34983,,54.0356,54.0313,55.1418,55.0141,57.0725,57.6855,57.0322,56.1344,56.9411,57.0517,146.731,145.438,145.473,145.006,144.851,144.385,145.896,145.818,147.76,147.773,143.662,144.009,145.096,145.045,147.014,146.988,145.784,146.342,146.734,146.762
51.6665,50.1139,51.3025,51.1444,52.6293,52.4582,52.7355,52.6023,53.7253,53.6991,,9.49152,51.911,52.1267,52.8185,52.8266,52.9838,52.7636,53.9012,53.8012,143.361,141.249,141.673,141.619,142.239,142.334,142.97,141.925,143.483,143.852,141.564,141.236,141.667,141.555,143.446,143.819,142.358,142.78,144.201,143.27
54.2398,54.2103,54.0883,53.7899,54.2242,53.8337,54.4641,53.7912,53.293,54.1652,9.4279,,54.0361,53.842,53.8684,54.0237,53.126,53.2776,53.4189,53.247,152.217,151.047,150.727,151.136,151.546,151.848,151.438,151.219,151.188,150.813,152.333,151.447,151.425,151.479,151.714,150.859,151.465,150.456,150.735,150.655
