,11.8318,45.386,45.4334,45.3826,45.3222,45.3139,45.2945,43.9897,44.1423,45.2703,45.2535,45.2861,45.2391,44.6492,44.7845,40.5888,41.1766,41.6633,41.5389,41.2174,41.4153,38.1068,37.7784,43.916,43.8817,45.1802,43.9243,45.2083,45.2759,45.2744,45.2637,132.452,131.037,130.833,130.279,130.34,131.335,129.531,129.176,127.537,127.497,129.604,129.778,130.377,129.599,128.044,128.322,127.47,127.615,125.81,125.836,123.576,124.431,122.999,122.891,124.65,124.61,123.984,124.029,126.221,126.272,125.739,124.906
10.884,,51.3835,50.423,50.1843,49.9476,50.3439,50.0503,48.7595,48.9226,50.178,49.3125,49.9383,50.1982,49.7914,49.529,48.2787,47.8453,47.2572,46.9602,47.0813,46.9745,45.8391,45.6451,43.9277,43.8051,40.3314,40.2902,44.659,44.5023,44.46,44.6894,143.486,140.406,141.274,141.162,141.597,141.346,140.796,140.657,140.479,140.539,139.882,139.837,138.949,138.446,138.091,137.809,138.736,138.768,139.146,137.679,134.411,134.366,134.283,134.433,134.018,133.802,134.217,134.176,134.751,134.443,136.035,134.675
38.4468,38.4404,,10.8133,39.2194,39.0747,39.5168,39.1471,37.7127,37.6606,37.0598,37.4316,36.9607,37.0478,34.5284,34.5167,39.249,39.5956,39.2927,40.1659,40.339,40.2324,40.2317,40.2534,43.0759,42.7705,43.1162,42.687,41.1388,41.1162,40.8715,40.9043,120.409,119.689,118.714,118.733,120.455,120.464,119.76,120.094,118.846,119.011,118.853,118.407,118.331,118.462,115.817,115.704,116.487,116.435,116.538,117.037,119.357,119.913,120.026,119.915,119.439,119.576,118.857,118.993,118.345,118.224,117.845,117.906
31.1497,30.5159,10.8492,,34.9608,35.2075,35.8815,35.6196,37.504,37.7529,37.6863,37.6359,36.9404,36.7099,36.2561,36.4357,38.394,38.1326,38.4196,38.4316,40.2237,40.1873,40.2513,40.2121,41.7762,42.1693,41.515,41.4857,40.2656,40.2668,40.2637,40.2229,109.167,109.175,110.044,109.606,109.84,109.889,109.356,109.624,110.855,110.658,111.972,111.986,110.498,110.706,112.973,112.228,115.021,115.082,114.497,114.915,116.619,117.303,115.401,115.329,116.718,116.562,115.964,115.69,115.123,115.111,113.745,113.229
48.7488,48.5428,50.2957,50.0111,,10.7302,50.3365,50.2908,49.5131,49.5847,49.8215,49.7708,48.2973,48.2531,47.9418,48.2554,46.2212,45.7561,46.3054,45.9205,46.1785,46.4108,46.5159,46.4085,48.7783,48.7405,45.2283,45.2287,44.9137,45.1716,40.2671,40.2373,137.368,135.401,135.043,135.039,137.061,136.961,136.074,135.978,135.61,135.451,134.768,134.975,134.037,134.147,131.653,131.462,131.933,133.737,132.513,132.657,133.932,134.11,129.794,130.354,130.697,130.779,129.502,129.734,130.214,130.253,129.477,129.138
50.4098,50.3134,50.1492,50.2817,10.9049,,48.9702,48.5772,47.6646,47.9059,48.2848,47.7258,49.1483,48.7535,48.6211,48.3137,46.5606,46.415,46.1803,46.0455,46.3355,46.0511,45.9693,45.3509,43.0978,43.039,40.2581,40.2829,43.6163,43.5846,43.9025,43.9125,143.367,139.958,140.153,139.275,139.538,139.521,139.414,139.301,139.326,139.072,138.069,139.639,138.886,138.706,136.813,136.906,137.228,137.335,137.135,136.954,133.682,133.839,132.461,131.181,133.1,133.143,131.708,131.052,133.061,133.291,134.377,134.442
39.019,38.9571,39.5239,39.379,39.2203,39.1083,,10.7948,37.6841,36.6643,34.408,34.8855,36.2773,36.6385,37.0521,37.3494,40.2084,40.2367,40.2476,40.2013,41.283,40.2119,39.7254,40.1829,41.7836,41.4929,41.5024,41.7382,42.8406,41.794,42.0594,42.2336,122.638,122.237,122.192,122.786,121.975,121.612,120.75,120.854,119.829,119.738,118.754,118.609,119.979,120.003,121.044,122.107,121.323,120.943,121.954,123.638,124.997,125.012,124.682,124.826,126.145,126.429,125.22,125.202,125.04,125.256,123.453,123.473
45.3652,45.2621,45.3633,45.2822,45.2927,45.2397,10.8912,,42.602,42.5196,43.181,43.1323,44.0368,43.983,43.6233,43.1297,40.2775,40.2594,40.2854,40.2556,40.2459,40.2426,36.9216,36.93,43.2111,43.2044,43.4399,43.701,45.2784,43.9686,45.1787,43.3864,131.447,130.059,130.083,130.066,130.327,130.408,129.149,128.907,127.262,126.729,129.656,130.015,127.755,128.128,127.011,127.305,126.06,126.17,124.585,124.698,122.497,122.423,122.638,122.283,122.577,122.614,121.36,121.387,124.666,124.439,124.54,124.355
48.7585,48.9095,48.2813,48.3042,47.4812,47.6716,47.4384,46.9404,,10.8614,46.9027,46.8743,46.8347,47.3942,47.4084,47.2271,45.2526,45.2396,44.3928,45.0331,44.7639,43.9092,44.2612,44.4707,41.0879,40.7143,40.1688,40.1655,42.01,42.2351,41.819,42.2617,141.382,138.232,137.777,138,138.096,137.807,138.06,138.131,138.683,138.788,138.067,137.99,136.035,136.091,135.606,134.595,135.171,135.377,135.173,135.34,132.336,132.324,131.128,131.415,132.725,133.226,130.894,130.867,130.982,131.45,131.639,131.634
48.3949,48.2761,48.9868,48.9839,49.4566,49.2166,48.5072,49.0588,10.8314,,48.2815,48.2762,46.9768,47.45,47.4459,47.3906,45.2604,45.2448,45.2342,45.2402,45.2702,45.2495,45.3223,45.2647,43.1414,43.5917,43.1294,43.1356,38.962,39.0794,42.2687,42.0379,139.562,137.378,137.584,137.466,138.174,139.609,139.862,139.78,139.782,139.692,136.705,135.059,137.081,136.883,134.452,134.538,134.616,136.242,135.001,135.207,134.115,133.68,132.338,130.725,131.876,131.11,133.155,133.15,131.822,131.495,131.284,131.255
